id,kind,label,x0,x1,z0,z1,y0,y1,largeur,profondeur,hauteur,etages,portes,fenetres
CliffN,boundary,Falaise nord,-42.0,42.0,-26.0,-25.0,0.0,6.0,84.0,1.0,6.0,,0,0
CliffS,boundary,Paroi sud,-42.0,42.0,25.0,26.0,-2.0,4.0,84.0,1.0,6.0,,0,0
BanqueC,building,Banque,-6.0,6.0,-25.0,-10.0,0.0,6.4,12.0,15.0,6.4,2,8,4
CoffreC,wall,Coffre (bloque l'axe des portes),-2.0,2.0,-16.0,-13.0,0.0,3.2,4.0,3.0,3.2,,0,0
WagonC,building,Wagon (traversant N-S),-1.5,1.5,-4.5,4.5,0.0,3.4,3.0,9.0,3.4,1,2,0
BassinC,solid,Bassin de l'eolienne,-2.0,2.0,7.5,13.0,0.0,3.0,4.0,5.5,3.0,,0,0
EolienneC1,landmark,Pylone de l'eolienne,-1.6,-1.2,8.6,9.0,3.0,10.0,0.4,0.4,7.0,,0,0
EolienneC2,landmark,Pylone de l'eolienne,1.2,1.6,8.6,9.0,3.0,10.0,0.4,0.4,7.0,,0,0
EolienneC3,landmark,Pylone de l'eolienne,-1.6,-1.2,11.6,12.0,3.0,10.0,0.4,0.4,7.0,,0,0
EolienneC4,landmark,Pylone de l'eolienne,1.2,1.6,11.6,12.0,3.0,10.0,0.4,0.4,7.0,,0,0
EolienneTeteC,landmark,Roue de l'eolienne,-1.8,1.8,9.8,10.4,10.0,13.0,3.6,0.6,3.0,,0,0
G_PlateauW,ground,Plateau de la Ville,-42.0,0.0,-25.0,7.0,-2.0,0.0,42.0,32.0,2.0,,0,0
G_BordW1,ground,Terrasse du ravin,-37.5,-26.25,7.0,13.0,-2.0,0.0,11.25,6.0,2.0,,0,0
G_BordW2,ground,Terrasse du ravin,-21.75,-10.25,7.0,13.0,-2.0,0.0,11.5,6.0,2.0,,0,0
G_BordW3,ground,Terrasse du ravin,-5.75,0.0,7.0,13.0,-2.0,0.0,5.75,6.0,2.0,,0,0
G_EntailleW1,ground,Fond d'entaille,-42.0,-37.5,7.0,13.0,-4.0,-2.0,4.5,6.0,2.0,,0,0
G_EntailleW2,ground,Fond d'entaille,-26.25,-21.75,7.0,13.0,-4.0,-2.0,4.5,6.0,2.0,,0,0
G_EntailleW3,ground,Fond d'entaille,-10.25,-5.75,7.0,13.0,-4.0,-2.0,4.5,6.0,2.0,,0,0
G_RavinW,ground,Ravin (-2 m),-42.0,0.0,13.0,25.0,-4.0,-2.0,42.0,12.0,2.0,,0,0
CliffW,boundary,Falaise ouest,-43.0,-42.0,-25.0,25.0,-2.0,6.0,1.0,50.0,8.0,,0,0
EcurieW,building,Ecurie,-42.0,-30.0,-25.0,-13.0,0.0,3.6,12.0,12.0,3.6,1,2,2
HotelW,building,Hotel,-30.0,-19.0,-25.0,-18.0,0.0,6.4,11.0,7.0,6.4,2,3,3
MagasinW,building,Magasin,-19.0,-6.0,-25.0,-18.0,0.0,6.4,13.0,7.0,6.4,2,4,3
